# Expression Atlas
# Query: Genes matching: 'default query', specifically up/down differentially expressed in 2 comparisons  given the adjusted p-value cutoff 0.5 and log2-fold change cutoff 0 in experiment E-PROT-59
# Timestamp: Mon, 15-Dec-2025 20:43:14
Gene ID	Gene Name	'clear cell renal cell carcinoma' vs 'normal' .foldChange	'clear cell renal cell carcinoma' vs 'normal'.pValue	'papillary renal cell carcinoma' vs 'clear cell renal cell carcinoma' .foldChange	'papillary renal cell carcinoma' vs 'clear cell renal cell carcinoma'.pValue
ENSG00000167526	RPL13			-0.2	0.322815187
ENSG00000167588	GPD1	2.5	5.14E-7	-0.9	0.011878713
ENSG00000167658	EEF2	-0.8	3.17936E-4	-0.3	0.326628925
ENSG00000167674	HDGFL2	-0.3	0.004863318	-0.3	0.238601631
ENSG00000167699	GLOD4	0.5	0.099075531	-1.2	9.91229E-4
ENSG00000167768	KRT1	0.5	0.129704377		
ENSG00000167815	PRDX2			-0.3	0.457716324
ENSG00000167863	ATP5PD	1.6	1.91E-8	-2.1	4.46027E-4
ENSG00000167969	ECI1	1.3	1.31E-6	-2.7	4.12633E-4
ENSG00000167985	SDHAF2	-0.5	0.085688025	-1.8	0.001275932
ENSG00000167986	DDB1			-0.3	0.012537846
ENSG00000167996	FTH1			-3.2	0.001836726
ENSG00000168003	SLC3A2	1.3	0.001560838	0.4	0.159566068
ENSG00000168028	RPSA	-0.6	4.34449E-4		
ENSG00000168092	PAFAH1B2	-0.3	0.003040983	-0.2	0.439988964
ENSG00000168291	PDHB	1.9	3.4E-13	-2.8	8.95E-5
ENSG00000168298	H1-4	-1.3	2.34E-6	1.2	0.00119983
ENSG00000168385	SEPTIN2	-0.6	0.008700039	0.9	0.137939406
ENSG00000168439	STIP1	-0.7	2.31263E-4	0.6	0.17042354
ENSG00000168522	FNTA			-0.5	0.092882093
ENSG00000168710	AHCYL1	-0.5	0.002491222	0.2	0.368797845
ENSG00000168906	MAT2A	-0.2	0.194309941		
ENSG00000168924	LETM1			-1.2	0.014669163
ENSG00000169020	ATP5ME	1.7	1.89E-7	-2.2	5.57E-6
ENSG00000169021	UQCRFS1	1.4	0.009742925	-2.5	0.001380636
ENSG00000169067	ACTBL2	-0.3	0.002224442	0.5	1.17E-5
ENSG00000169100	SLC25A6	0.6	1.90177E-4	-0.6	0.001423754
ENSG00000169504	CLIC4	0.9	0.002974651	-0.6	0.129980621
ENSG00000169564	PCBP1	-0.3	0.00130128	-0.3	0.065213639
ENSG00000169567	HINT1	-1.0	1.6E-5	0.9	4.29548E-4
ENSG00000169738	DCXR	3.6	1.25E-10	-3.5	0.003158715
ENSG00000169756	LIMS1	0.2	0.084646071		
ENSG00000169764	UGP2	0.1	0.401972739		
ENSG00000169895	SYAP1	0.9	0.023007184		
ENSG00000170027	YWHAG	-1.0	1.36E-5	0.5	0.029932287
ENSG00000170144	HNRNPA3	-0.9	8.18E-6	0.7	0.042108461
ENSG00000170348	TMED10			0.3	0.167114551
ENSG00000170421	KRT8	-0.3	0.36032721	-0.5	0.239772002
ENSG00000170473	PYM1	-1.7	4.93E-7	2.1	0.106886915
ENSG00000170542	SERPINB9	-0.6	0.003234578		
ENSG00000170558	CDH2	-0.4	0.09268097	0.3	0.262900139
ENSG00000170860	LSM3	-0.4	1.65E-6	0.1	0.4269809
ENSG00000171174	RBKS	-0.4	0.001218763	0.1	0.39246504
ENSG00000171234	UGT2B7	1.6	0.047531063		
ENSG00000171298	GAA	-0.3	0.215199504	-1.3	2.38365E-4
ENSG00000171314	PGAM1	-1.0	3.06E-5	0.6	0.005373006
ENSG00000171403	KRT9	0.3	0.030971262		
ENSG00000171530	TBCA	-0.8	1.23E-5	0.7	0.003132377
ENSG00000171557	FGG	-0.4	0.316737559	0.7	0.040722874
ENSG00000171560	FGA	-0.4	0.225831626	-0.8	0.011736108
ENSG00000171564	FGB	-0.6	0.153365801	0.7	0.027210532
ENSG00000171766	GATM	5.3	5.61E-8	-4.8	1.05E-6
ENSG00000171848	RRM2	-0.1	0.290494822	-1.2	6.80391E-4
ENSG00000171863	RPS7	-1.1	2.06E-5	0.2	0.407391386
ENSG00000172037	LAMB2	-0.8	0.088252937		
ENSG00000172053	QARS1			-0.8	0.028695983
ENSG00000172115	CYCS	2.0	3.21E-13	-3.1	2.48632E-4
ENSG00000172270	BSG	-0.7	0.003518693	0.6	0.014539558
ENSG00000172380	GNG12	0.4	0.002977786	-0.2	0.299772998
ENSG00000172531	PPP1CA	0.6	0.167716417	-0.9	0.045965229
ENSG00000172534	HCFC1	-0.8	0.116107258		
ENSG00000172680	MOS	-0.2	0.191094104	0.2	0.429353553
ENSG00000172757	CFL1	-0.5	7.07894E-4	0.3	0.017240699
ENSG00000172809	RPL38	-0.6	0.006196197		
ENSG00000172831	CES2	0.7	0.027652824		
ENSG00000172867	KRT2	1.0	0.087030236		
ENSG00000172939	OXSR1	0.2	0.21042131		
ENSG00000173110	HSPA6	-0.4	9.22E-5	1.0	0.038950718
ENSG00000173267	SNCG	-0.5	0.067951539		
ENSG00000173457	PPP1R14B	-0.6	0.149759688		
ENSG00000173486	FKBP2	0.2	0.126228765		
ENSG00000173540	GMPPB	-0.1	0.261324734	0.1	0.350945257
ENSG00000173692	PSMD1	-1.2	0.001191535	1.1	0.003366727
ENSG00000173821	RNF213			0.6	0.15729499
ENSG00000173915	ATP5MK	0.3	0.214762514	-1.1	0.015295411
ENSG00000173992	CCS	-0.6	0.00322429		
ENSG00000174059	CD34	-1.2	3.84E-5		
ENSG00000174238	PITPNA	-1.0	0.004912406		
ENSG00000174444	RPL4			-0.4	0.244141095
ENSG00000174547	MRPL11			-1.0	0.003098144
ENSG00000174748	RPL15	-0.7	0.001401396	-0.3	0.101914741
ENSG00000174780	SRP72	-1.2	2.16497E-4		
ENSG00000174799	CEP135	0.3	0.390427058	0.5	0.127684491
ENSG00000174827	PDZK1	1.6	7.02E-5	-0.5	0.04644351
ENSG00000174886	NDUFA11	2.0	7.90459E-4	-0.7	0.060278404
ENSG00000175220	ARHGAP1	-0.6	0.041022052		
ENSG00000175899	A2M	-1.3	4.02653E-4	0.5	0.121719032
ENSG00000176393	RNPEP	-0.8	0.041492305	0.7	0.215934764
ENSG00000176619	LMNB2	-0.2	0.357302896		
ENSG00000176623	RMDN1			0.3	0.374232329
ENSG00000176853	FAM91A1	-1.0	0.012721346	0.8	0.083008501
ENSG00000177105	RHOG			0.3	0.386070283
ENSG00000177106	EPS8L2	0.6	0.203538235		
ENSG00000177156	TALDO1	-0.4	0.198874118	-0.4	0.2289236
ENSG00000177556	ATOX1	0.2	0.166146211	0.5	0.043340473
ENSG00000177600	RPLP2	-0.6	3.37228E-4		
ENSG00000177674	AGTRAP	-0.5	0.104462479	0.8	0.042195357
ENSG00000177733	HNRNPA0	-0.7	4.11E-6	0.1	0.42227578
ENSG00000177889	UBE2N	-0.5	5.98E-6	0.3	0.059337173
ENSG00000178363	CALML3	-0.2	0.007298601	0.6	0.047362432
ENSG00000178445	GLDC			0.7	0.387822303
ENSG00000178695	KCTD12			-1.3	0.001318057
ENSG00000178952	TUFM	1.4	2.84E-6	-2.6	7.04E-9
ENSG00000179091	CYC1	1.6	1.75E-8	-3.0	5.38E-6
ENSG00000179163	FUCA1	0.6	9.96618E-4	-1.5	0.108852564
ENSG00000179218	CALR	-0.5	0.079651554	0.7	0.022008002
ENSG00000179403	VWA1	-1.1	0.001605205		
ENSG00000179958	DCTPP1			-0.5	0.162592051
ENSG00000180185	FAHD1	1.0	4.61E-7	-2.6	1.68636E-4
ENSG00000180198	RCC1	-0.9	0.0409821		
ENSG00000180398	MCFD2	-0.1	0.147634832	0.7	0.021378899
ENSG00000180817	PPA1			-0.6	0.151709271
ENSG00000180879	SSR4	-1.0	0.141552013	0.7	0.316634784
ENSG00000181019	NQO1	0.6	0.044065734	0.7	0.00690815
ENSG00000181163	NPM1	-1.1	0.014665859		
ENSG00000182004	SNRPE			-0.5	0.244859157
ENSG00000182149	IST1			-0.3	0.274721198
ENSG00000182196	ARL6IP4	-0.5	0.035545515		
ENSG00000182199	SHMT2	-0.4	0.160027733	-1.5	3.54E-5
ENSG00000182512	GLRX5	1.3	2.31E-6	-1.5	1.19E-6
ENSG00000182718	ANXA2	-1.3	8.47E-6		
ENSG00000182809	CRIP2	-0.6	0.029140344	0.8	0.041302327
ENSG00000182827	ACBD3			1.0	0.046230607
ENSG00000182871	COL18A1	1.8	1.57735E-4	-1.5	6.83753E-4
ENSG00000182899	RPL35A	0.6	2.69683E-4		
ENSG00000182919	C11orf54	2.0	1.17216E-4		
ENSG00000182952	HMGN4	-1.0	1.5575E-4	0.7	0.003439576
ENSG00000183431	SF3A3	0.8	7.83E-9	-0.1	0.179849045
ENSG00000183684	ALYREF	-0.7	2.02E-7		
ENSG00000183747	ACSM2A	2.5	4.82E-9	-0.9	0.157076667
ENSG00000184056	VPS33B	0.1	0.264329059		
ENSG00000184076	UQCR10			-1.4	0.179142877
ENSG00000184270	H2AC21	-0.5	0.087287729		
ENSG00000184357	H1-5	-0.7	9.5941E-4	0.6	0.003484795
ENSG00000184840	TMED9			0.7	0.148485743
ENSG00000185009	AP3M1	-0.8	0.056473898	0.7	0.129767091
ENSG00000185088	RPS27L	-0.6	3.9E-7	0.2	0.244968846
ENSG00000185129	PURA	0.3	0.150839468		
ENSG00000185236	RAB11B	0.6	5.82579E-4	-0.5	0.070796542
ENSG00000185359	HGS	0.2	0.194278208	-0.4	0.020375896
ENSG00000185432	METTL7A	-0.4	0.080750372	0.5	0.036973963
ENSG00000185567	AHNAK2	-0.3	6.12994E-4	0.4	8.95E-5
ENSG00000185624	P4HB	-1.9	1.82E-5	1.6	5.51829E-4
ENSG00000185640	KRT79	-0.3	0.308373182	-0.5	0.250134695
ENSG00000185651	UBE2L3	-0.6	1.96E-5		
ENSG00000185813	PCYT2			-0.7	0.272753872
ENSG00000185825	BCAP31	-0.5	0.043903734		
ENSG00000185896	LAMP1	0.2	0.152668861	-0.4	0.217981481
ENSG00000186298	PPP1CC	-0.3	0.012921398	-0.2	0.363751826
ENSG00000186395	KRT10			0.5	0.154149717
ENSG00000186522	SEPTIN10	0.6	0.062883007	-0.9	0.006954502
ENSG00000187097	ENTPD5	0.4	0.003775313		
ENSG00000187109	NAP1L1	-0.9	5.12E-7	0.7	3.81201E-4
ENSG00000187498	COL4A1	1.2	2.66E-6		
ENSG00000187514	PTMA	-0.7	3.77E-6	0.4	0.171288642
ENSG00000187735	TCEA1	-0.3	0.022811559	-0.3	0.167396991
ENSG00000187837	H1-2	-1.3	2.34E-6	1.2	0.00119983
ENSG00000187955	COL14A1	0.3	0.432680161		
ENSG00000188021	UBQLN2	-0.7	0.001289044	0.4	0.281208636
ENSG00000188229	TUBB4B	-0.4	9.89005E-4	0.3	0.035611533
ENSG00000188643	S100A16	-0.8	1.95532E-4		
ENSG00000188846	RPL14	-0.4	0.001821792	-0.4	0.223954281
ENSG00000189058	APOD	0.8	0.017344394	-0.7	0.275225573
ENSG00000189060	H1-0	-0.4	0.063895061	-1.3	0.12876907
ENSG00000189159	JPT1			0.5	0.405313595
ENSG00000189171	S100A13	-0.6	1.73705E-4	0.3	0.012221085
ENSG00000189182	KRT77	0.2	0.390191947	0.3	0.262344448
ENSG00000189221	MAOA	1.4	0.03167871	-1.7	0.027792175
ENSG00000189369	GSPT2	-0.4	0.00771078		
ENSG00000189403	HMGB1	-0.4	0.001589285	0.3	0.137616897
ENSG00000196136	SERPINA3	-0.3	0.398730218	1.7	0.010403544
ENSG00000196139	AKR1C3			1.5	0.049210047
ENSG00000196141	SPATS2L	-0.3	0.204996064	-0.9	0.01763062
ENSG00000196154	S100A4	-1.2	1.29E-8	0.5	0.305661459
ENSG00000196177	ACADSB	2.9	5.91E-12	-2.1	0.002004282
ENSG00000196262	PPIA	-0.7	8.5946E-4		
ENSG00000196396	PTPN1			-0.7	0.045231775
ENSG00000196419	XRCC6			-1.1	0.26350525
ENSG00000196502	SULT1A1	-0.2	0.428079729		
ENSG00000196531	NACA	-0.9	3.15E-7	0.2	0.211594829
ENSG00000196604	POTEF	-0.3	9.13358E-4	0.4	3.0449E-4
ENSG00000196924	FLNA	-1.0	3.42E-5		
ENSG00000196975	ANXA4	-2.3	5.53E-10	1.6	3.79E-5
ENSG00000197043	ANXA6	0.4	0.006170637	-0.4	0.062950258
ENSG00000197111	PCBP2	-0.4	0.026264849		
ENSG00000197702	PARVA	0.2	0.178014807		
ENSG00000197728	RPS26	-0.8	0.001684184		
ENSG00000197747	S100A10	-2.0	5.47E-9	0.5	0.158848229
ENSG00000197785	ATAD3A			-0.8	0.034000116
ENSG00000197894	ADH5	0.8	0.002344215		
ENSG00000197956	S100A6	-0.3	0.246663872		
ENSG00000197958	RPL12	-0.5	0.040675431		
ENSG00000198034	RPS4X	-0.9	8.42921E-4		
ENSG00000198157	HMGN5	0.3	0.011447571	-0.4	0.275650921
ENSG00000198203	SULT1C2	1.6	0.003468168	-0.7	0.08470429
ENSG00000198356	GET3			-0.4	8.47E-5
ENSG00000198467	TPM2	-0.4	0.125717581		
ENSG00000198585	NUDT16	-0.7	0.018737568		
ENSG00000198612	COPS8	-0.2	0.012826522		
ENSG00000198682	PAPSS2			-0.2	0.252423561
ENSG00000198712	MT-CO2	2.4	4.7E-11	-3.3	0.003458326
ENSG00000198755	RPL10A	-0.8	7.33841E-4		
ENSG00000198805	PNP	1.1	2.03E-7	-1.0	2.09E-5
ENSG00000198830	HMGN2	-0.5	5.88011E-4	1.4	0.036182925
ENSG00000198898	CAPZA2	0.1	0.227705161	0.4	0.276795593
ENSG00000198899	MT-ATP6	0.8	0.006546893	-1.6	0.011774381
ENSG00000198918	RPL39			1.0	0.044812959
ENSG00000198931	APRT	-0.5	8.99461E-4	-0.3	0.097258914
ENSG00000198959	TGM2	-2.7	3.01E-7		
ENSG00000203879	GDI1	-0.5	0.007396787	0.4	0.030313027
ENSG00000205220	PSMB10			1.0	0.001509878
ENSG00000205302	SNX2	0.5	0.001217321		
ENSG00000205403	CFI	0.8	0.132399056		
ENSG00000205436	EXOC3L4	-0.2	0.131477139	-0.4	0.134539395
ENSG00000205981	DNAJC19			-1.1	0.003662585
ENSG00000211445	GPX3	3.6	3.13E-10	-1.2	0.18595823
ENSG00000211460	TSN	-0.1	0.277513805	0.2	0.224795195
ENSG00000211598	IGKV4-1	-0.4	0.025279751	1.2	0.079767878
ENSG00000213024	NUP62	-0.8	1.17E-5		
ENSG00000213064	SFT2D2	-0.6	0.018973893	-0.3	0.460090133
ENSG00000213145	CRIP1	-1.6	2.38302E-4	1.1	0.16017112
ENSG00000213445	SIPA1	-1.2	3.43E-6	1.1	6.08E-5
ENSG00000213563	C8orf82			-0.5	0.471694324
ENSG00000213585	VDAC1			-0.9	2.25795E-4
ENSG00000213977	TAX1BP3	-0.2	0.128854214	-0.2	0.43363183
ENSG00000213995	NAXD	0.2	0.21362352		
ENSG00000214078	CPNE1			-0.7	0.093478342
ENSG00000214253	FIS1	0.8	1.04E-5		
ENSG00000215021	PHB2	0.1	0.431767624	-1.4	1.61E-7
ENSG00000215301	DDX3X	-0.4	0.021196807	0.3	0.253929531
ENSG00000216490	IFI30			0.5	0.202679008
ENSG00000223609	HBD	-0.5	0.324720129		
ENSG00000228278	ORM2	-0.4	0.043955684	1.1	3.96E-5
ENSG00000229314	ORM1			1.4	2.21277E-4
ENSG00000233276	GPX1	-0.3	0.03202801	-1.1	0.008924046
ENSG00000233927	RPS28	-1.0	2.64333E-4		
ENSG00000239672	NME1	-0.6	1.27524E-4	-0.7	3.29E-5
ENSG00000240303	ACAD11	-0.6	0.011655687		
ENSG00000241360	PDXP	-0.4	0.024783368	0.6	0.204375087
ENSG00000241553	ARPC4	-0.2	0.284398499	-0.2	0.184988657
ENSG00000241837	ATP5PO	1.5	1.33E-9	-2.1	2.59669E-4
ENSG00000241839	PLEKHO2	-0.4	0.109325078	0.3	0.153834338
ENSG00000242110	AMACR	1.2	0.016352068	-3.5	7.16E-5
ENSG00000242372	EIF6	-0.8	0.001252333		
ENSG00000243989	ACY1	3.8	3.81E-11	-1.1	0.027446324
ENSG00000244038	DDOST	-0.9	2.80355E-4	0.4	0.02489531
ENSG00000244734	HBB	-0.3	0.461381637	-0.3	0.450639949
ENSG00000247077	PGAM5	-0.5	0.233293628		
ENSG00000247596	TWF2	-0.7	0.004351333	0.1	0.46348785
ENSG00000249915	PDCD6	-1.1	3.64E-7	0.4	0.014835333
ENSG00000250317	SMIM20			-1.1	0.037670137
ENSG00000254772	EEF1G			-0.9	0.021223219
ENSG00000254986	DPP3			-0.3	0.467710736
ENSG00000257017	HP	-0.3	0.460007257	1.8	8.01E-5
ENSG00000257727	CNPY2			-0.3	0.34222254
ENSG00000258947	TUBB3			-0.5	0.457466066
ENSG00000261150	EPPK1			0.4	0.423221785
ENSG00000262814	MRPL12	0.6	0.031249854	-1.8	0.012108716
ENSG00000263001	GTF2I	-0.2	0.38963763		
ENSG00000265681	RPL17	-0.8	0.087022427	-0.6	0.198074057
ENSG00000277443	MARCKS			0.5	0.220051667
ENSG00000277586	NEFL			0.8	0.066638913
ENSG00000277656	ENSG00000277656	0.5	0.007837665	-0.3	0.461962721
